0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 3 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 4
4 3 3 5 5 5 5 3 3 3 4 3 3 4 3 3 3 5 5 5 5 3 3 4
4 3 3 5 5 5 5 3 3 3 4 3 3 4 3 3 3 5 5 5 5 3 3 4
4 3 3 5 5 5 5 3 3 3 3 3 3 3 3 3 3 5 5 5 5 3 3 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4
8 8 8 4 3 8 8 8 3 3 4 3 3 4 3 3 8 8 8 3 4 8 8 8
8 8 8 4 3 3 8 3 3 3 4 3 3 4 3 3 3 8 3 3 4 8 8 8
4 4 4 4 3 3 3 3 3 3 4 4 4 4 3 3 3 3 3 3 4 4 4 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 4 3 3 3 4 3 3 4 4 4 4 4 3 3 4 3 3 3 5 5 5 3 4
4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
4 3 4 4 4 4 3 3 3 3 4 3 3 3 3 4 4 4 4 3 3 3 3 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
